RecordID,CollectionDate,ConfirmedMalariaCases,SuspectedMalariaCasesTested,MalariaTestPositivityRate,MalariaIncidenceRate,SevereMalariaCases,MalariaDeaths,OutpatientMalariaVisits,InpatientMalariaAdmissions,ChildMalariaCases,MalariaInPregnancy,ITNOwnershipPercent,ITNUsagePercent,IRSCoveragePercent,Temperature,Precipitation,NDVI,Elevation,UrbanPopulationPercent,Under5PopulationPercent,GDPPerCapita,ImprovedWaterAccessPercent
1,2021-08-17,5,12,0.59,391.77,3,0,11,1,4,3,60.7,89.7,34.5,28.0,28.1,0.18,408.8,21.7,11.4,446.01,77.6
2,2021-02-21,4,10,0.37,391.77,0,0,12,2,5,0,87.7,38.5,24.5,27.4,46.6,0.66,784.2,66.2,11.1,495.53,53.4
3,2022-07-18,4,6,0.26,391.77,1,0,2,2,2,1,93.7,78.7,74.2,29.2,17.3,0.16,773.5,55.0,16.4,592.24,57.9
4,2022-05-17,5,10,0.6,391.77,0,0,10,1,3,1,98.4,71.7,22.5,22.8,14.7,0.75,448.8,54.0,11.4,467.43,82.9
5,2022-04-03,5,9,0.2,391.77,0,0,8,0,2,0,96.6,76.2,72.0,29.1,6.9,0.68,94.8,33.8,10.1,574.51,81.4
6,2021-10-13,3,8,0.22,391.77,4,0,5,2,3,1,58.9,61.9,52.8,25.7,60.7,0.12,1506.7,29.0,17.7,473.69,46.6
7,2021-07-29,5,10,0.41,391.77,1,0,5,1,1,0,79.5,53.4,29.1,27.2,1.2,0.31,1932.2,43.6,18.5,565.62,77.5
8,2021-06-28,4,7,0.55,391.77,1,0,11,2,2,3,74.6,30.2,61.7,28.9,4.3,0.32,1784.2,57.6,12.9,331.97,56.1
9,2023-05-15,6,8,0.68,391.77,5,0,11,2,2,2,99.9,56.6,79.5,30.9,39.9,0.56,1803.3,13.8,14.0,488.48,52.9
10,2021-03-07,7,9,0.65,391.77,2,0,8,1,6,2,69.3,42.7,78.0,25.6,20.8,0.66,1537.9,51.1,14.9,514.6,53.7
11,2021-03-03,2,6,0.4,391.77,1,0,5,5,3,1,91.1,45.9,62.7,24.5,11.2,0.25,831.8,21.4,14.0,588.09,83.5
12,2021-07-11,5,10,0.62,391.77,1,0,8,3,4,1,52.5,43.3,25.4,32.5,24.6,0.4,1160.1,63.9,18.9,476.36,43.5
13,2022-03-24,5,10,0.27,391.77,0,0,6,1,5,1,63.6,72.6,71.6,30.5,10.0,0.72,413.3,35.2,10.6,470.93,61.4
14,2022-04-22,6,16,0.49,391.77,2,0,6,3,8,1,85.3,42.7,43.2,27.9,20.4,0.54,281.6,46.2,17.2,456.38,58.6
